Date,Account,Description,Category,Tags,Amount
8/2/2021,College 529,Money Line Received Eft Funds Received Erxxxx8948,Transfers,,50
7/31/2021,Discover Credit Card,Internet Payment - Thank You,Credit Card Payments,,71.23
7/31/2021,Chase Credit Card,Payment Thank You-mobile,Credit Card Payments,,749.25
7/31/2021,Long Term Savings (Goldman),Sav Increase Int Paid,Interest,,36.72
7/31/2021,Health Savings Account - Ending in 5417,Interest,Interest,,0.01
7/31/2021,Short Term Savings (PNC),Interest Payment,Interest,,0.3
7/30/2021,Spend (PNC),Ach Debit Xxxxx2808 Public Service Pseg,Gas/Electric Bill,,-179.93
7/30/2021,TD Invest,Free Balance Interest Adjustment,Investment Income,,0.33
7/30/2021,Short Term Savings (BOA),Online Scheduled Transfer From Chk 9148 Confirmation# Xxxxxx6769,Transfers,,1500
7/30/2021,Spend (BOA),L'oreal Usa,Paychecks/Salary,,4873.6
7/30/2021,Spend (BOA),Check Xxxxxxx0112,Healthcare/Medical,,-135
7/30/2021,Spend (BOA),Online Scheduled Transfer To Sav 6703 Confirmation# Xxxxxx6769,Transfers,,-1500
7/30/2021,L'oreal Usa Inc. 401k,Contribution Vtiax,Retirement Contributions,,79.83
7/30/2021,L'oreal Usa Inc. 401k,Contribution Viiix,Retirement Contributions,,159.67
7/30/2021,L'oreal Usa Inc. 401k,Contribution Svfq,Retirement Contributions,,79.84
7/30/2021,L'oreal Usa Inc. 401k,Contribution T5o,Retirement Contributions,,479
7/30/2021,L'oreal Usa Inc. 401k,Contribution Vtiax,Retirement Contributions,,31.93
7/30/2021,L'oreal Usa Inc. 401k,Contribution Viiix,Retirement Contributions,,63.87
7/30/2021,L'oreal Usa Inc. 401k,Contribution Svfq,Retirement Contributions,,31.93
7/30/2021,L'oreal Usa Inc. 401k,Contribution T5o,Retirement Contributions,,191.6
7/30/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Svfq,Securities Trades,,1.26
7/30/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Svfq,Securities Trades,,2.53
7/30/2021,College 529,Money Line Received,Transfers,,50
7/29/2021,Discover Credit Card,Wawa,Gasoline/Fuel,,-35.01
7/28/2021,L3harris 401k,Lifecycle Fund Xx60 - Exchange In,Securities Trades,,90.24
7/28/2021,L3harris 401k,Lifecycle Fund Xx60 - Contributions,Retirement Contributions,,150.39
7/28/2021,L3harris 401k,Large Cap Core Eq - Exchange In,Securities Trades,,56.4
7/28/2021,L3harris 401k,Large Cap Core Eq - Contributions,Retirement Contributions,,94
7/28/2021,L3harris 401k,L3harris Stock Fund - Exchange Out,Transfers,,-191.76
7/28/2021,L3harris 401k,L3harris Stock Fund - Contributions,Retirement Contributions,,281.99
7/28/2021,L3harris 401k,Index Equity Fund - Exchange In,Securities Trades,,45.12
7/28/2021,L3harris 401k,Index Equity Fund - Contributions,Retirement Contributions,,75.19
7/28/2021,Short Term Savings (BOA),Interest Earned,Interest,,0.08
7/27/2021,Chase Credit Card,"Amazon - Ice Pack, Roller, Slicer",General Merchandise,,-52.57
7/27/2021,Spend (PNC),Honda,Car Loan,,-316
7/27/2021,Spend (PNC),Usaa,Insurance,", ",-182.64
7/26/2021,Northrop Grumman 401k,Ng Stock - Balance Forward,Securities Trades,,0
7/26/2021,Spend (PNC),Td Ameritrade,Investments,,-350
7/26/2021,Auto - Ending in 7460,Payment Received - Thank You!,Transfers,,316
7/25/2021,Chase Credit Card,Costco,Groceries & Essentials,,-303.39
7/25/2021,Chase Credit Card,White Star Bar,Restaurants/Liquor,,-117.03
7/25/2021,Chase Credit Card,Cory Mathews South Inc,Personal Care/Hair,,-40
7/24/2021,Discover Credit Card,Shell,Gasoline/Fuel,,-34.22
7/23/2021,Chase Credit Card,Costco,Groceries & Essentials,,-76.95
7/23/2021,Chase Credit Card,Liquor Basics,Restaurants/Liquor,,-26.64
7/23/2021,Spend (PNC),Ach Credit Xxxxx6013 L3harris Technol Payroll,Paychecks/Salary,,2223.93
7/23/2021,Spend (PNC),Twh Auto Transfer To Xxxxx3314,Savings,,-150
7/23/2021,Short Term Savings (PNC),Twh Auto Transfer From Xxxxx3293,Transfers,,150
7/23/2021,Health Savings Account - Ending in 5417,Payroll Deduction,Transfers,,0.01
7/23/2021,Spend (BOA),Chase,Credit Card Payments,,-649.85
7/23/2021,TD Invest,Recurring Electronic Funding,Transfers,,350
7/22/2021,Chase Credit Card,Tst* Imm Thai,Restaurants/Liquor,,-13.43
7/22/2021,Chase Credit Card,Payment Thank You - Web,Credit Card Payments,,649.85
7/21/2021,Chase Credit Card,Precision Nails,Personal Care/Hair,,-30
7/20/2021,Chase Credit Card,Exxonmobil,Gasoline/Fuel,,-40.63
7/20/2021,Chase Credit Card,Amazon Marketplace,General Merchandise,", ",-48.61
7/20/2021,Chase Credit Card,Shoprite,Groceries & Essentials,,-86.13
7/19/2021,Northrop Grumman 401k,Ng Stock - Balance Forward,Securities Trades,,0
7/18/2021,Chase Credit Card,Costco,Groceries & Essentials,,-31.99
7/17/2021,Discover Credit Card,Shell,Gasoline/Fuel,,-37.01
7/17/2021,Chase Credit Card,Slice*oliviastrattoria,Restaurants/Liquor,,-79.95
7/16/2021,Chase Credit Card,Acme Fresh Market,Groceries & Essentials,,-2.99
7/16/2021,Chase Credit Card,Acme Fresh Market,Groceries & Essentials,,-55.19
7/16/2021,Chase Credit Card,Acme Fresh Market,Groceries & Essentials,,-4.25
7/16/2021,Spend (PNC),Venmo,Wedding,,-965
7/16/2021,Spend (PNC),Discover Bank,Credit Card Payments,,-83.98
7/16/2021,Spend (BOA),Chase,Credit Card Payments,,-896
7/15/2021,Chase Credit Card,Tommy's Tavern & Tap,Restaurants/Liquor,,-94.58
7/15/2021,Spend (PNC),Interest Payment,Interest,,0.05
7/15/2021,Discover Credit Card,Internet Payment - Thank You,Credit Card Payments,,83.98
7/15/2021,Chase Credit Card,Payment Thank You-mobile,Transfers,,896
7/14/2021,Chase Credit Card,E-zpass,Travel,,-125
7/14/2021,Chase Credit Card,Krispy Kreme,Entertainment/Social,,-4.15
7/14/2021,Chase Credit Card,Lulus,Clothing/Shoes/Makeup,,-146
7/14/2021,Chase Credit Card,Poke 22,Restaurants/Liquor,,-19.62
7/14/2021,L3harris 401k,Lifecycle Fund Xx60 - Exchange In,Securities Trades,,90.24
7/14/2021,L3harris 401k,Large Cap Core Eq - Exchange In,Securities Trades,,56.4
7/14/2021,L3harris 401k,L3harris Stock Fund - Exchange Out,Transfers,,-191.76
7/14/2021,L3harris 401k,Index Equity Fund - Exchange In,Securities Trades,,45.12
7/14/2021,L3harris 401k,Lifecycle Fund Xx60 - Contributions,Retirement Contributions,,150.39
7/14/2021,L3harris 401k,Large Cap Core Eq - Contributions,Retirement Contributions,,94
7/14/2021,L3harris 401k,L3harris Stock Fund - Contributions,Retirement Contributions,,281.99
7/14/2021,L3harris 401k,Index Equity Fund - Contributions,Retirement Contributions,,75.19
7/13/2021,Spend (PNC),Verizon,TV/Internet/Phone & Subscriptions,,-54.99
7/12/2021,Discover Credit Card,Sunoco,Gasoline/Fuel,,-36
7/12/2021,Chase Credit Card,Lulus,Return Income,,67.8
7/12/2021,Spend (PNC),Td Ameritrade,Investments,,-350
7/11/2021,Chase Credit Card,Google Nest,TV/Internet/Phone & Subscriptions,,-60
7/11/2021,Chase Credit Card,"Amazon Marketplace - Blender Cups, Cat Paper",Pets/Pet Care,,-9.77
7/11/2021,Chase Credit Card,Shoprite,Groceries & Essentials,,-56.81
7/11/2021,Chase Credit Card,Deal Lake Bar + Co.,Restaurants/Liquor,,-176.11
7/9/2021,Health Savings Account - Ending in 5417,Payroll Deduction,Transfers,,0.01
7/9/2021,Spend (PNC),Geico,Car Insurance,,-168.73
7/9/2021,Spend (PNC),Ach Credit Xxxxx6013 L3harris Technol Payroll,Paychecks/Salary,,2223.89
7/9/2021,Spend (PNC),Twh Auto Transfer To Xxxxx3314,Savings,,-150
7/9/2021,Short Term Savings (PNC),Twh Auto Transfer From Xxxxx3293,Transfers,,150
7/9/2021,Spend (BOA),Bank Of America,Car Loan,,-309.66
7/9/2021,TD Invest,Recurring Electronic Funding,Transfers,,350
7/7/2021,Chase Credit Card,Amazon - Pants,Clothing/Shoes/Makeup,,-20.7
7/6/2021,Spend (PNC),The Park Hotels,Rent,,-2293.66
7/6/2021,Spend (PNC),Aspca Pet Health Insurance,Pets/Pet Care,,-31.42
7/6/2021,Spend (PNC),Discover Bank,Credit Card Payments,,-63.29
7/6/2021,Discover Credit Card,Foodworld,Groceries & Essentials,,-9.98
7/6/2021,Spend (BOA),Chase,Transfers,,-1728.07
7/5/2021,Discover Credit Card,Shell,Gasoline/Fuel,,-38
7/5/2021,Chase Credit Card,Old Navy,Return Income,,22.25
7/5/2021,Chase Credit Card,Costco Gas Stations,Groceries & Essentials,,-196.74
7/5/2021,Chase Credit Card,Shoprite,Groceries & Essentials,,-92.98
7/5/2021,Chase Credit Card,Chewy,Pets/Pet Care,,-21.26
7/3/2021,Chase Credit Card,Honda - Brakes,Car Maintenance,,-290.62
7/3/2021,Chase Credit Card,Amazon - Pants,Clothing/Shoes/Makeup,,-20.7
7/2/2021,Chase Credit Card,Amazon - Women Speedo,Clothing/Shoes/Makeup,,-29.68
7/2/2021,Spend (PNC),Elizabethtown Gas,Gas/Electric Bill,,-10.94
7/2/2021,Discover Credit Card,Internet Payment - Thank You,Credit Card Payments,,63.29
7/2/2021,Chase Credit Card,Payment Thank You-mobile,Transfers,,1728.07
7/2/2021,Chase Credit Card,Magnetstreet,Wedding,,-0.75
7/1/2021,Chase Credit Card,Hulu,TV/Internet/Phone & Subscriptions,,-12.39
7/1/2021,Chase Credit Card,Amazon - Men Speedo,Clothing/Shoes/Makeup,,-37.53
7/1/2021,L3harris 401k,Lifecycle Fund Xx60 - Recordkeeping Fee,Service Charges/Fees,,-2.28
7/1/2021,L3harris 401k,Large Cap Core Eq - Recordkeeping Fee,Service Charges/Fees,,-1.51
7/1/2021,L3harris 401k,L3harris Stock Fund - Recordkeeping Fee,Service Charges/Fees,,-0.8
7/1/2021,L3harris 401k,Index Equity Fund - Recordkeeping Fee,Service Charges/Fees,,-1.16
7/1/2021,College 529,You Bought Contribution Periodic Investment Nh Aggressive Growth Port,Securities Trades,,-7.5
7/1/2021,College 529,You Bought Contribution Periodic Investment Nh Moderate Growth Port,Securities Trades,,-7.5
7/1/2021,College 529,You Bought Contribution Periodic Investment Nh Money Market,Securities Trades,,-5
7/1/2021,College 529,You Bought Contribution Periodic Investment Nh Fidelity 500 Index,Securities Trades,,-5
7/1/2021,College 529,You Bought Contribution Periodic Investment Nh Total Market Index,Securities Trades,,-10
7/1/2021,College 529,You Bought Contribution Periodic Investment Nh Aggressive Growth Port,Securities Trades,,-5
7/1/2021,College 529,You Bought Contribution Periodic Investment Nh Moderate Growth Port,Securities Trades,,-5
7/1/2021,College 529,You Bought Contribution Periodic Investment Nh International Index,Securities Trades,,-5
7/1/2021,Spend (PNC),Fidelity Investments,Investments,,-50
7/1/2021,Short Term Savings (BOA),Online Scheduled Transfer From Chk 9148 Confirmation# Xxxxxx4840,Transfers,,1500
7/1/2021,Short Term Savings (BOA),Goldman Sachs,Savings,,-1500
7/1/2021,Spend (BOA),Online Scheduled Transfer To Sav 6703 Confirmation# Xxxxxx4840,Transfers,,-1500
7/1/2021,College 529,Money Line Received Eft Funds Received Erxxxx2537,Transfers,,50
7/1/2021,Long Term Savings (Goldman),Bank Of America,Transfers,,1500
6/30/2021,Chase Credit Card,Cvs Pharmacy,Healthcare/Medical,,39.99
6/30/2021,Chase Credit Card,Amazon - Men Speedo,Clothing/Shoes/Makeup,,-40.26
6/30/2021,L3harris 401k,Lifecycle Fund Xx60 - Exchange In,Securities Trades,,90.24
6/30/2021,L3harris 401k,Lifecycle Fund Xx60 - Contribution,Retirement Contributions,,150.39
6/30/2021,L3harris 401k,Large Cap Core Eq - Exchange In,Securities Trades,,56.4
6/30/2021,L3harris 401k,Large Cap Core Eq - Contribution,Retirement Contributions,,94
6/30/2021,L3harris 401k,L3harris Stock Fund - Exchange Out,Transfers,,-191.76
6/30/2021,L3harris 401k,L3harris Stock Fund - Contribution,Retirement Contributions,,281.99
6/30/2021,L3harris 401k,Index Equity Fund - Exchange In,Securities Trades,,45.12
6/30/2021,L3harris 401k,Index Equity Fund - Contribution,Retirement Contributions,,75.19
6/30/2021,Long Term Savings (Goldman),Sav Increase Int Paid,Interest,,34.91
6/30/2021,Health Savings Account - Ending in 5417,Interest,Interest,,0.01
6/30/2021,Spend (PNC),Ach Debit Xxxxx2808 Public Service Pseg,Gas/Electric Bill,,-125.17
6/30/2021,Short Term Savings (PNC),Interest Payment,Interest,,0.28
6/30/2021,TD Invest,Free Balance Interest Adjustment,Investment Income,,0.31
6/30/2021,Chase Credit Card,Chipotle Mexican Grill,Restaurants/Liquor,,-25.06
6/30/2021,Spend (BOA),L'oreal Usa,Paychecks/Salary,,4599.26
6/30/2021,L'oreal Usa Inc. 401k,Contribution Vtiax,Retirement Contributions,,72.83
6/30/2021,L'oreal Usa Inc. 401k,Contribution Viiix,Retirement Contributions,,145.67
6/30/2021,L'oreal Usa Inc. 401k,Contribution Svfq,Retirement Contributions,,72.83
6/30/2021,L'oreal Usa Inc. 401k,Contribution T5o,Retirement Contributions,,437
6/30/2021,L'oreal Usa Inc. 401k,Contribution Vtiax,Retirement Contributions,,29.13
6/30/2021,L'oreal Usa Inc. 401k,Contribution Viiix,Retirement Contributions,,58.27
6/30/2021,L'oreal Usa Inc. 401k,Contribution Svfq,Retirement Contributions,,29.13
6/30/2021,L'oreal Usa Inc. 401k,Contribution T5o,Retirement Contributions,,174.8
6/30/2021,L'oreal Usa Inc. 401k,Fees Vtiax,Securities Trades,,-0.24
6/30/2021,L'oreal Usa Inc. 401k,Fees Vtiax,Securities Trades,,-0.47
6/30/2021,L'oreal Usa Inc. 401k,Fees Viiix,Securities Trades,,-0.51
6/30/2021,L'oreal Usa Inc. 401k,Fees Viiix,Securities Trades,,-1
6/30/2021,L'oreal Usa Inc. 401k,Fees Svfq,Securities Trades,,-0.19
6/30/2021,L'oreal Usa Inc. 401k,Fees Svfq,Securities Trades,,-0.39
6/30/2021,L'oreal Usa Inc. 401k,Fees T5o,Securities Trades,,-1.5
6/30/2021,L'oreal Usa Inc. 401k,Fees T5o,Securities Trades,,-2.95
6/30/2021,L'oreal Usa Inc. 401k,Earnings - Gain/loss Vtiax,Securities Trades,,0.04
6/30/2021,L'oreal Usa Inc. 401k,Earnings - Gain/loss Vtiax,Securities Trades,,0.08
6/30/2021,L'oreal Usa Inc. 401k,Earnings - Gain/loss Viiix,Securities Trades,,0.09
6/30/2021,L'oreal Usa Inc. 401k,Earnings - Gain/loss Viiix,Securities Trades,,0.18
6/30/2021,L'oreal Usa Inc. 401k,Earnings - Gain/loss T5o,Securities Trades,,0.36
6/30/2021,L'oreal Usa Inc. 401k,Earnings - Gain/loss T5o,Securities Trades,,0.65
6/30/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Svfq,Securities Trades,,1.15
6/30/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Svfq,Securities Trades,,2.29
6/30/2021,College 529,Money Line Received,Transfers,,50
6/29/2021,Chase Credit Card,Amazon Marketplace - Cat Tent/Tunnel,Pets/Pet Care,,-122.9
6/29/2021,Chase Credit Card,Amazon - Pants,Clothing/Shoes/Makeup,,-20.7
6/29/2021,Spend (PNC),Honda,Car Loan,,-316
6/29/2021,Spend (PNC),Usaa,Insurance,", ",-182.64
6/28/2021,Discover Credit Card,Sunoco,Gasoline/Fuel,,-32
6/28/2021,Chase Credit Card,Thailand Restaurant,Restaurants/Liquor,,-24.86
6/28/2021,Chase Credit Card,Amazon Marketplace - Water Shoes,Clothing/Shoes/Makeup,,-14.88
6/28/2021,Chase Credit Card,Amazon - Garmin,General Merchandise,,-266.55
6/28/2021,Chase Credit Card,Amazon - Wiper,Car Maintenance,,-16.52
6/28/2021,Spend (BOA),Bank Of America,ATM/Cash,,-240
6/28/2021,Spend (BOA),Zelle - Hair,Wedding,,-100
6/28/2021,Short Term Savings (BOA),Interest Earned,Interest,,0.09
6/28/2021,Rebecca Barresi - Roth Ira Brokerage Account - Ending in 7366,Vanguard Star Investor Cl-dividend,Investment Income,,138.48
6/28/2021,Rebecca Barresi - Roth Ira Brokerage Account - Ending in 7366,Vanguard Star Investor Cl-reinvestment,Securities Trades,,-138.48
6/28/2021,Spend (PNC),Td Ameritrade,Investments,,-350
6/27/2021,Chase Credit Card,Cvs Pharmacy,Healthcare/Medical,,-234.23
6/26/2021,Chase Credit Card,Road Runner Sports,Clothing/Shoes/Makeup,,-240.33
6/26/2021,Auto - Ending in 7460,Payment Received - Thank You!,Transfers,,316
6/25/2021,Chase Credit Card,Petco,Pets/Pet Care,,-65.01
6/25/2021,Chase Credit Card,Acme Fresh Market,Groceries & Essentials,,-47.73
6/25/2021,Chase Credit Card,Quick Chek,Gasoline/Fuel,,-36.82
6/25/2021,Short Term Savings (PNC),Twh Auto Transfer From Xxxxx3293,Transfers,,150
6/25/2021,Spend (PNC),Ach Credit Xxxxx6013 L3harris Technol Payroll,Paychecks/Salary,,2223.93
6/25/2021,Spend (PNC),Twh Auto Transfer To Xxxxx3314,Savings,,-150
6/25/2021,Health Savings Account - Ending in 5417,Payroll Deduction,Transfers,,0.01
6/25/2021,TD Invest,Recurring Electronic Funding,Transfers,,350
6/24/2021,Chase Credit Card,365 Retail Markets,Restaurants/Liquor,,-1.6
6/24/2021,Chase Credit Card,"Amazon Marketplace - Clothes, Sunglasses",Clothing/Shoes/Makeup,,-135.87
6/24/2021,Chase Credit Card,Amazon Marketplace - Knee Compression,Clothing/Shoes/Makeup,,-19.99
6/23/2021,Chase Credit Card,Le Shoppe Company St,Personal Care/Hair,,-33.85
6/23/2021,Spend (PNC),Discover Bank,Credit Card Payments,,-33.96
6/23/2021,Chase Credit Card,Magnetstreet,Wedding,,-7.42
6/23/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Viiix,Securities Trades,,6.39
6/23/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Viiix,Securities Trades,,12.41
6/22/2021,Discover Credit Card,Internet Payment - Thank You,Credit Card Payments,,33.96
6/21/2021,Discover Credit Card,Sunoco,Gasoline/Fuel,,-31.29
6/21/2021,Chase Credit Card,Acme Fresh Market,Groceries & Essentials,,-6.8
6/18/2021,Chase Credit Card,Spring Lake Pizza,Restaurants/Liquor,,-20.26
6/18/2021,Chase Credit Card,Dairy Queen,Entertainment/Social,,-11.6
