YEARS,Gross Income,Net Income,Net Cash,Net Savings,House,Car,Food,Entertainment,Personal Care,Healthcare,Pet,Holiday,Education,Vacation,Charity,Major,Random
0,182406,136316,114320,15425,28440,22094,9600,1440,1620,1574,2028,2600,0,3950,1824,18000,2936
1,186953,121184,98779,-107272,119627,21916,9647,1458,1630,1643,2104,2618,0,4048,2010,35000,3041
2,192002,123858,100998,26959,29852,14570,9696,1475,1640,1631,2180,2637,0,4147,2206,0,2433
3,196617,126252,102978,28288,30083,14452,9743,1494,1650,1533,2256,2656,0,4246,2411,0,2490
4,201743,128902,105166,33028,30321,14354,9792,1512,1660,1743,2332,2675,0,4345,2625,0,2965
5,207095,131771,104089,13879,30565,24308,13776,1912,2087,2136,2408,3193,0,4443,2849,0,5682
6,212564,134602,106373,10287,30816,19088,13843,1935,2100,1938,2484,3232,0,4542,3083,0,5130
7,218449,137768,107210,-2473,31074,29028,19474,2445,2640,2544,2560,4000,0,4641,3326,0,4906
8,223988,140612,109500,2166,31339,23712,19567,2475,2657,2421,2636,4094,0,4740,3581,0,5139
9,229329,143313,111667,13480,31612,23452,19661,2502,2672,2432,2712,4189,0,6155,3846,0,5138
10,235157,146302,111722,-1700,31892,19054,19756,2531,2688,2482,2788,4287,0,6281,4123,0,7448
11,241121,149355,114119,5598,32180,18880,19850,2558,2703,2597,2864,4387,0,7777,4412,0,7211
12,247154,152436,116536,3407,32476,14552,19944,2585,2720,2501,2940,4488,0,7930,4712,0,7134
13,253497,155689,119092,-2917,32780,26504,20038,2615,2735,2585,3016,4592,0,8082,5027,0,6567
14,261484,159944,122468,12086,33093,20220,20132,2643,2751,2508,3092,4698,0,8235,5357,0,7423
15,268543,163622,122684,14005,33415,19986,20225,2671,2766,2554,3168,4806,0,8387,5697,0,9153
16,275892,167668,125848,3662,33745,31902,20321,2700,2783,2374,3244,4916,0,8540,6051,0,9447
17,284035,172276,129479,3264,34085,25550,20414,2726,2800,2477,3320,5027,0,8692,6419,0,8323
18,292087,175517,131753,-133886,172243,20234,20508,2756,2815,2426,3396,5141,0,8845,6800,0,7784
19,299237,179479,134858,25304,22618,20000,20602,2783,2831,2431,3472,5257,0,8997,7199,0,8955
20,307619,184381,137667,21998,23003,19808,20696,2812,2846,2538,3549,5375,0,9150,7612,0,9266
21,315398,188843,142129,19576,23399,30770,20791,2840,2862,2663,3625,5491,0,9302,8043,0,10883
22,325776,195029,148315,-36669,23806,32727,20885,2866,2877,2494,3701,5616,66500,9455,8490,0,11118
23,335244,200167,153453,-33716,24225,29788,20979,2896,2893,2407,3777,5740,66500,9607,8954,0,9556
24,344132,204949,158235,-112304,24655,53312,21072,2925,2908,2504,3853,5866,133000,9760,9438,0,9871
25,0,-34518,-43232,-292573,25097,40874,21166,2952,2926,2543,3929,5993,133000,9912,0,0,9946
26,0,-35530,-42503,-207003,25551,32053,15185,2385,2353,2055,4005,4006,66500,8291,0,0,11188
27,0,-36572,-43545,-227861,26018,27738,15254,2406,2366,1975,4081,4046,66500,8416,0,0,10671
28,0,-37642,-43222,-148300,26498,25254,10943,1944,1903,1583,4157,3125,0,6715,0,0,10783
29,0,-38740,-44320,-140160,26991,31388,10992,1962,1913,1665,4233,3143,0,6813,0,0,10407
30,0,-39870,-45450,-133424,27498,22884,11040,1980,1923,1541,4309,3162,0,6912,0,0,10379
31,0,-41032,-46612,-128985,28020,22472,11088,1998,1933,1596,4385,3181,0,7011,0,0,11723
32,0,-42226,-47806,-153151,28555,38216,11136,2015,1944,1603,4461,3200,0,7110,0,0,10816
33,0,-48156,-53736,-395045,275192,29690,11184,2034,1954,1724,4537,3218,0,7208,0,0,10122
34,0,-49548,-55128,-135745,25817,22552,11232,2052,1964,1661,4613,3237,0,7307,0,0,11364
35,0,-50980,-56560,-150167,26459,22200,11280,2070,1974,1654,4689,3256,0,7406,0,0,10677
36,0,-52450,-58030,-151555,27119,21912,11328,2088,1984,1633,4765,3275,0,7505,0,0,12837
37,0,-53962,-59542,-137568,27798,14970,11376,2106,1994,1512,4841,3293,0,7603,0,0,11480
38,0,-55516,-61096,-139458,28495,14778,11424,2124,2004,1662,4917,3312,0,7702,0,0,9976
39,0,-57114,-62694,-166072,29212,14620,11472,2142,2014,1604,4993,3331,0,7801,0,0,9306
