YEARS,High Dividend,Low Volatility,Value/Growth,Sector Indexes,Swing/Day,Roth Ret,Trad Ret,College 529,Long-Term Savings,Short-Term Savings,Spending
0,5179,5372,3893,3874,21795,68805,12018,3863,107679,18892,21281
1,5389,5789,4282,4261,28437,94032,25521,4170,42385,234,0
2,6553,7259,5925,5819,40793,121747,40722,8478,48248,3360,9191
3,7789,8885,7896,7664,55725,152611,57727,13688,54652,6750,18601
4,9076,10570,10145,9969,71813,186628,76259,19838,61392,10325,28002
5,9767,11732,11712,11492,96880,226096,96466,23224,64484,11606,31195
6,10704,13230,13795,16148,125154,269858,118747,28178,69109,13804,36415
7,11175,14267,15289,27206,151266,317936,143204,30473,70490,13820,35856
8,11827,15527,17095,56015,176035,370602,170385,34126,72929,14706,37770
9,12503,17023,19125,93416,192569,428019,199638,38345,75520,15656,39730
10,13248,18766,21487,151928,209042,492538,232021,43035,78433,16761,41900
11,14059,20635,24121,223444,221682,560625,266140,48209,81513,17921,44189
12,15117,22801,27551,311718,233234,637508,303420,54813,85612,19857,48048
13,15918,24825,30574,415659,234685,718152,344180,60053,87884,20452,49045
14,17010,27257,34499,549635,235733,807375,388587,67021,91386,22036,52196
15,18093,29891,56245,885410,0,905342,437449,74207,94455,23232,54529
16,18927,32420,81910,951085,0,1009469,488027,79943,96107,22764,52854
17,20075,35353,111473,1037654,0,1120956,542718,87954,98918,23808,54846
18,20885,38068,150860,1134997,0,1242566,600954,93581,26442,12362,16512
19,23171,42357,209911,1200933,0,1371038,662509,106117,30739,16012,23801
20,25657,47332,270181,1245386,0,1504255,729560,120019,35005,19741,31244
21,27806,52205,367384,1312800,0,1641409,799990,131912,38063,22233,36417
22,28942,56383,487262,1356496,0,1787754,871241,122900,37336,14808,15278
23,30115,60927,627634,1433733,0,1948539,949587,116113,33532,7393,2983
24,30903,64926,783297,1479933,0,2115093,1033037,59883,3226,0,0
25,75793,224095,658490,1417509,0,2239950,1094922,0,0,0,0
26,90237,243838,681629,1345707,0,2378471,1165702,0,0,0,0
27,114408,276201,704411,1292022,-333,2516431,1237083,0,0,0,0
28,147849,325569,745287,1282655,-1110,2653331,1305951,0,0,0,0
29,187032,375954,784896,1281405,-2298,2803199,1377026,0,0,0,0
30,233470,439712,810147,1252861,-4729,2953556,1453105,0,0,0,0
31,281790,494241,838147,1214720,-8082,3112526,1528246,0,0,0,0
32,341315,539448,851089,1166604,-11873,3267081,1608329,0,0,0,0
33,376756,537543,826716,1023869,-23880,3431549,1687473,0,0,0,0
34,459543,571207,840016,1008587,-30781,3600697,1769216,0,0,0,0
35,562637,593430,851709,1002859,-38537,3775778,1853398,0,0,0,0
36,680228,618926,856434,964419,-47096,3944192,1939438,0,0,0,0
37,810647,638666,858894,952530,-55500,4122154,2025943,0,0,0,0
38,962835,662646,856212,916465,-64365,4305134,2112379,0,0,0,0
39,1127884,683537,850569,905249,-74117,4481449,2200753,0,0,0,0
